polifilético,grupo o taxón que está formado por el conjunto de ramas distintas del árbol evolutivo que no descienden de un único antepasado común reciente ,https://biogeosfera.com/wp-content/uploads/2022/11/monofilia-polifilia-parafilia.png
cianobacterias ,bacterias capaces de realizar fotosíntesis oxigénica. Son los únicos procariontes que llevan a cabo ese tipo de fotosíntesis ,https://media.geeksforgeeks.org/wp-content/uploads/20240304102812/Cyanobacteria.png
cadena trófica,"secuencia lineal de organismos donde la materia y la energía se transfieren de un ser vivo a otro, mostrando quién se come a quién dentro de un ecosistema ",https://lh3.googleusercontent.com/proxy/Jx6SwtSyleE0x8Zn3dFgLSla8qj5dfY8nw-KGHxdJ0r5hZ1dhseLCKEUtfINIgYBRG2QtbzYxHdEQmIyT-2JGgDw8sB1XcWI
talófitos ," organismos pluricelulares que no presentan tejidos ni el conjunto de órganos característico de las plantas vasculares, es decir, que no tienen tallos, raíces y hojas; se llama talo al cuerpo indiferenciado de esos organismos. No son un taxón (un grupo de la clasificación biológica) sino que constituyen un conjunto polifilético (que no proviene de un ancestro común inmediato, sino de varios)  ",https://media.discordapp.net/attachments/1418304319563759626/1418430320176529410/image.png?ex=68ce17ad&is=68ccc62d&hm=48a476e9d3a4b7f2d16002f0cc5831a3221f1525b605095b5168c25111a8f2a3&=&format=webp&quality=lossless
Laminariales (Phaeophyceae),Kelp ,https://as2.ftcdn.net/jpg/05/37/91/47/1000_F_537914776_VCBx79JD0wmseNBYwtvuX51G3epVZ0R1.jpg
homeostasis ,state of steady internal physical and chemical conditions maintained by living systems. ,
"Archaea
"," procariotas unicelulares que, al igual que las bacterias, no presentan núcleo (pero sí nucleolo) ni orgánulos membranosos internos, pero son fundamentalmente diferentes a estas, de tal manera que conforman su propio dominio. ",
diferencia entre archaeae y bacterias ,"Pared celular
Bacterias: suelen tener peptidoglicano (mureína).
Arqueas: no tienen peptidoglicano; usan pseudopeptidoglicano, polisacáridos u otras estructuras.

Membrana celular
Bacterias: lípidos con enlaces éster (como en eucariotas).
Arqueas: lípidos con enlaces éter y a veces monocapa en lugar de bicapa → más resistentes a condiciones extremas.

Ribosomas y maquinaria genética
Bacterias: ARN ribosómico y proteínas más simples, sensibles a antibióticos (ej. estreptomicina).
Arqueas: ribosomas más parecidos a los eucariotas en estructura y función, resistentes a antibióticos bacterianos.

Información genética
Bacterias: un cromosoma circular, intrones casi ausentes.
Arqueas: también cromosoma circular, pero con intrones en algunos genes y proteínas asociadas al ADN parecidas a histonas (como en eucariotas).

Metabolismo
Bacterias: muy variados, desde fotosíntesis hasta fermentación.
Arqueas: incluyen rutas únicas, como metanogénesis (producir metano), que no existe en bacterias.

Ambiente típico
Bacterias: casi en todas partes (suelo, agua, intestinos, etc.).
Arqueas: muchas son extremófilas (aguantan altas temperaturas, salinidad, acidez), aunque también hay arqueas en ambientes “normales” (ej. intestino humano).
",https://i.pinimg.com/736x/a7/97/b8/a797b8ac6711563327bb25e1c282b4fd.jpg
peptidoglicano,componente principal de la pared celular de casi todas las bacterias ,https://upload.wikimedia.org/wikipedia/commons/d/d7/Peptidoglycan_en.svg
autótrofos ,"como las plantas, PRODUCTORES ",
