homonuclear,formado por átomos del mismo elemento químico 
dipolo eléctrico,cuando en una molécula aparece una separación de cargas eléctricas positivas y negativas. +q -q y distancia entre ellas r
Ion,"atom that has gained or lost electrons, giving it a net electrical charge. Not equal amount of protons and electrons "
Protons + neutrons =,Mass number
Atom =,Proton + neutron + electron cloud
Nº of element =,Nº of protons in element
Isotope ,Atoms of the same element that have the same number of protons but different numbers of neutrons 
mass number =,nº protons + nº neutrons
+positive ion,cation
-negative ion,anion
stable isotopes,non radioactive
radioisotopes,radioactive
